Filename;Leadname;QrsDuration Error;QrsOfset Error;QrsOnset Error
ANE20000;I;-33.0;-303.0;-176.0
;II;-36.0;-306.0;-176.0
;III;-12.0;-282.0;-176.0
;aVR;11.0;-249.0;-166.0
;aVL;-27.0;-297.0;-176.0
;aVF;-38.0;-308.0;-176.0
;V1;59.0;-208.0;-173.0
;V2;8.0;-276.0;-190.0
;V3;-32.0;-291.0;-165.0
;V4;-5.0;-278.0;-179.0
;V5;-34.0;-307.0;-179.0
;V6;-9.0;-282.0;-179.0
ANE20001;I;-30.0;-344.0;-220.0
;II;-31.0;-345.0;-220.0
;III;-13.0;-327.0;-220.0
;aVR;-30.0;-344.0;-220.0
;aVL;-29.0;-343.0;-220.0
;aVF;-33.0;-347.0;-220.0
;V1;59.0;-252.0;-217.0
;V2;-37.0;-365.0;-234.0
;V3;44.0;-286.0;-236.0
;V4;-27.0;-344.0;-223.0
;V5;-31.0;-348.0;-223.0
;V6;-10.0;-327.0;-223.0
ANE20002;I;-33.0;-258.0;-131.0
;II;-36.0;-261.0;-131.0
;III;-37.0;-263.0;-132.0
;aVR;-35.0;-260.0;-131.0
;aVL;-26.0;-251.0;-131.0
;aVF;-36.0;-261.0;-131.0
;V1;-20.0;-255.0;-141.0
;V2;13.0;-225.0;-144.0
;V3;-11.0;-222.0;-117.0
;V4;10.0;-202.0;-118.0
;V5;-34.0;-261.0;-133.0
;V6;-36.0;-263.0;-133.0
CAL05000;I;-32.0;-45.0;-11.0
;II;-32.0;-45.0;-11.0
;III;0.0;0.0;0.0
;aVR;-32.0;-45.0;-11.0
;aVL;-33.0;-46.0;-11.0
;aVF;-33.0;-46.0;-11.0
;V1;-32.0;-45.0;-11.0
;V2;-32.0;-45.0;-11.0
;V3;-32.0;-45.0;-11.0
;V4;-32.0;-45.0;-11.0
;V5;-32.0;-45.0;-11.0
;V6;-32.0;-45.0;-11.0
CAL10000;I;-30.0;-43.0;-11.0
;II;-30.0;-43.0;-11.0
;III;0.0;0.0;0.0
;aVR;-30.0;-43.0;-11.0
;aVL;-31.0;-44.0;-11.0
;aVF;-31.0;-44.0;-11.0
;V1;-30.0;-43.0;-11.0
;V2;-30.0;-43.0;-11.0
;V3;-30.0;-43.0;-11.0
;V4;-30.0;-43.0;-11.0
;V5;-30.0;-43.0;-11.0
;V6;-30.0;-43.0;-11.0
CAL15000;I;-30.0;-42.0;-12.0
;II;-30.0;-42.0;-12.0
;III;0.0;0.0;0.0
;aVR;-30.0;-42.0;-12.0
;aVL;-30.0;-42.0;-12.0
;aVF;-30.0;-42.0;-12.0
;V1;-30.0;-42.0;-12.0
;V2;-30.0;-42.0;-12.0
;V3;-30.0;-42.0;-12.0
;V4;-30.0;-42.0;-12.0
;V5;-30.0;-42.0;-12.0
;V6;-30.0;-42.0;-12.0
CAL20000;I;-29.0;-41.0;-12.0
;II;-29.0;-41.0;-12.0
;III;0.0;0.0;0.0
;aVR;-29.0;-41.0;-12.0
;aVL;-29.0;-41.0;-12.0
;aVF;-29.0;-41.0;-12.0
;V1;-29.0;-41.0;-12.0
;V2;-29.0;-41.0;-12.0
;V3;-29.0;-41.0;-12.0
;V4;-29.0;-41.0;-12.0
;V5;-29.0;-41.0;-12.0
;V6;-29.0;-41.0;-12.0
CAL20002;I;-9.0;-21.0;-12.0
;II;-9.0;-21.0;-12.0
;III;0.0;0.0;0.0
;aVR;-9.0;-21.0;-12.0
;aVL;-9.0;-21.0;-12.0
;aVF;-9.0;-21.0;-12.0
;V1;-9.0;-21.0;-12.0
;V2;-9.0;-21.0;-12.0
;V3;-9.0;-21.0;-12.0
;V4;-9.0;-21.0;-12.0
;V5;-9.0;-21.0;-12.0
;V6;-9.0;-21.0;-12.0
CAL20100;I;-22.0;-10.0;12.0
;II;-22.0;-10.0;12.0
;III;0.0;0.0;0.0
;aVR;-22.0;-10.0;12.0
;aVL;-22.0;-10.0;12.0
;aVF;-22.0;-10.0;12.0
;V1;-22.0;-10.0;12.0
;V2;-22.0;-10.0;12.0
;V3;-22.0;-10.0;12.0
;V4;-22.0;-10.0;12.0
;V5;-22.0;-10.0;12.0
;V6;-22.0;-10.0;12.0
CAL20110;I;-23.0;-7.0;16.0
;II;-23.0;-7.0;16.0
;III;0.0;0.0;0.0
;aVR;-54.0;-118.0;-64.0
;aVL;-23.0;-7.0;16.0
;aVF;-23.0;-7.0;16.0
;V1;-23.0;-7.0;16.0
;V2;-23.0;-7.0;16.0
;V3;-23.0;-7.0;16.0
;V4;-23.0;-7.0;16.0
;V5;-23.0;-7.0;16.0
;V6;-23.0;-7.0;16.0
CAL20160;I;-45.0;-36.0;9.0
;II;-45.0;-36.0;9.0
;III;0.0;0.0;0.0
;aVR;-53.0;-118.0;-65.0
;aVL;-46.0;-37.0;9.0
;aVF;-46.0;-37.0;9.0
;V1;-45.0;-36.0;9.0
;V2;-45.0;-36.0;9.0
;V3;-45.0;-36.0;9.0
;V4;-45.0;-36.0;9.0
;V5;-45.0;-36.0;9.0
;V6;-45.0;-36.0;9.0
CAL20200;I;17.0;64.0;47.0
;II;17.0;64.0;47.0
;III;0.0;0.0;0.0
;aVR;17.0;64.0;47.0
;aVL;17.0;64.0;47.0
;aVF;17.0;64.0;47.0
;V1;17.0;64.0;47.0
;V2;17.0;64.0;47.0
;V3;17.0;64.0;47.0
;V4;17.0;64.0;47.0
;V5;17.0;64.0;47.0
;V6;17.0;64.0;47.0
CAL20210;I;-7.0;-71.0;-64.0
;II;-7.0;-71.0;-64.0
;III;0.0;0.0;0.0
;aVR;-47.0;-37.0;10.0
;aVL;-7.0;-71.0;-64.0
;aVF;-7.0;-71.0;-64.0
;V1;-7.0;-71.0;-64.0
;V2;-7.0;-71.0;-64.0
;V3;-7.0;-71.0;-64.0
;V4;-7.0;-71.0;-64.0
;V5;-7.0;-71.0;-64.0
;V6;-7.0;-71.0;-64.0
CAL20260;I;-27.0;-10.0;17.0
;II;-27.0;-10.0;17.0
;III;0.0;0.0;0.0
;aVR;-27.0;-10.0;17.0
;aVL;-27.0;-10.0;17.0
;aVF;-27.0;-10.0;17.0
;V1;-27.0;-10.0;17.0
;V2;-27.0;-10.0;17.0
;V3;-27.0;-10.0;17.0
;V4;-27.0;-10.0;17.0
;V5;-27.0;-10.0;17.0
;V6;-27.0;-10.0;17.0
CAL20500;I;-39.0;-38.0;1.0
;II;-39.0;-38.0;1.0
;III;0.0;0.0;0.0
;aVR;-39.0;-38.0;1.0
;aVL;-39.0;-38.0;1.0
;aVF;-39.0;-38.0;1.0
;V1;-39.0;-38.0;1.0
;V2;-39.0;-38.0;1.0
;V3;-39.0;-38.0;1.0
;V4;-39.0;-38.0;1.0
;V5;-39.0;-38.0;1.0
;V6;-39.0;-38.0;1.0
CAL20502;I;-32.0;-11.0;21.0
;II;-32.0;-11.0;21.0
;III;0.0;0.0;0.0
;aVR;-32.0;-11.0;21.0
;aVL;-32.0;-11.0;21.0
;aVF;-32.0;-11.0;21.0
;V1;-32.0;-11.0;21.0
;V2;-32.0;-11.0;21.0
;V3;-32.0;-11.0;21.0
;V4;-32.0;-11.0;21.0
;V5;-32.0;-11.0;21.0
;V6;-32.0;-11.0;21.0
CAL30000;I;-29.0;-41.0;-12.0
;II;-29.0;-41.0;-12.0
;III;0.0;0.0;0.0
;aVR;-29.0;-41.0;-12.0
;aVL;-29.0;-41.0;-12.0
;aVF;-29.0;-41.0;-12.0
;V1;-29.0;-41.0;-12.0
;V2;-29.0;-41.0;-12.0
;V3;-29.0;-41.0;-12.0
;V4;-29.0;-41.0;-12.0
;V5;-29.0;-41.0;-12.0
;V6;-29.0;-41.0;-12.0
CAL50000;I;-29.0;-41.0;-12.0
;II;-29.0;-41.0;-12.0
;III;0.0;0.0;0.0
;aVR;-29.0;-41.0;-12.0
;aVL;-29.0;-41.0;-12.0
;aVF;-29.0;-41.0;-12.0
;V1;-29.0;-41.0;-12.0
;V2;-29.0;-41.0;-12.0
;V3;-29.0;-41.0;-12.0
;V4;-29.0;-41.0;-12.0
;V5;-29.0;-41.0;-12.0
;V6;-29.0;-41.0;-12.0
